,course_title,start_date,students_number
403,Интернет-маркетолог от Ingate,2019-01-01,514
404,Интернет-маркетолог от Ingate,2019-02-01,532
405,Интернет-маркетолог от Ingate,2019-03-01,638
406,Интернет-маркетолог от Ingate,2019-04-01,631
407,Интернет-маркетолог от Ingate,2019-05-01,583
408,Интернет-маркетолог от Ingate,2019-06-01,586
409,Интернет-маркетолог от Ingate,2019-07-01,505
410,Веб-дизайн с нуля 2.0,2016-03-01,0
411,Веб-дизайн с нуля 2.0,2016-04-01,0
412,Веб-дизайн с нуля 2.0,2016-05-01,0
413,Веб-дизайн с нуля 2.0,2016-06-01,0
414,Веб-дизайн с нуля 2.0,2016-07-01,0
415,Веб-дизайн с нуля 2.0,2016-08-01,0
416,Веб-дизайн с нуля 2.0,2016-09-01,0
417,Веб-дизайн с нуля 2.0,2016-10-01,0
418,Веб-дизайн с нуля 2.0,2016-11-01,0
419,Веб-дизайн с нуля 2.0,2016-12-01,0
420,Веб-дизайн с нуля 2.0,2017-01-01,0
421,Веб-дизайн с нуля 2.0,2017-02-01,0
422,Веб-дизайн с нуля 2.0,2017-03-01,0
423,Веб-дизайн с нуля 2.0,2017-04-01,0
424,Веб-дизайн с нуля 2.0,2017-05-01,0
425,Веб-дизайн с нуля 2.0,2017-06-01,0
426,Веб-дизайн с нуля 2.0,2017-07-01,0
427,Веб-дизайн с нуля 2.0,2017-08-01,0
428,Веб-дизайн с нуля 2.0,2017-09-01,0
429,Веб-дизайн с нуля 2.0,2017-10-01,0
430,Веб-дизайн с нуля 2.0,2017-11-01,0
431,Веб-дизайн с нуля 2.0,2017-12-01,0
432,Веб-дизайн с нуля 2.0,2018-01-01,0
433,Веб-дизайн с нуля 2.0,2018-02-01,0
434,Веб-дизайн с нуля 2.0,2018-03-01,0
435,Веб-дизайн с нуля 2.0,2018-04-01,0
436,Веб-дизайн с нуля 2.0,2018-05-01,0
437,Веб-дизайн с нуля 2.0,2018-06-01,65
438,Веб-дизайн с нуля 2.0,2018-07-01,202
439,Веб-дизайн с нуля 2.0,2018-08-01,299
440,Веб-дизайн с нуля 2.0,2018-09-01,370
441,Веб-дизайн с нуля 2.0,2018-10-01,441
442,Веб-дизайн с нуля 2.0,2018-11-01,497
443,Веб-дизайн с нуля 2.0,2018-12-01,685
444,Веб-дизайн с нуля 2.0,2019-01-01,792
445,Веб-дизайн с нуля 2.0,2019-02-01,707
446,Веб-дизайн с нуля 2.0,2019-03-01,710
447,Веб-дизайн с нуля 2.0,2019-04-01,639
448,Веб-дизайн с нуля 2.0,2019-05-01,610
449,Веб-дизайн с нуля 2.0,2019-06-01,540
450,Веб-дизайн с нуля 2.0,2019-07-01,492
451,Веб-разработчик,2016-03-01,1
452,Веб-разработчик,2016-04-01,0
453,Веб-разработчик,2016-05-01,0
454,Веб-разработчик,2016-06-01,0
455,Веб-разработчик,2016-07-01,0
456,Веб-разработчик,2016-08-01,0
457,Веб-разработчик,2016-09-01,0
458,Веб-разработчик,2016-10-01,0
459,Веб-разработчик,2016-11-01,0
460,Веб-разработчик,2016-12-01,0
461,Веб-разработчик,2017-01-01,1
462,Веб-разработчик,2017-02-01,0
463,Веб-разработчик,2017-03-01,0
464,Веб-разработчик,2017-04-01,1
465,Веб-разработчик,2017-05-01,1
466,Веб-разработчик,2017-06-01,1
467,Веб-разработчик,2017-07-01,1
468,Веб-разработчик,2017-08-01,1
469,Веб-разработчик,2017-09-01,0
470,Веб-разработчик,2017-10-01,0
471,Веб-разработчик,2017-11-01,1
472,Веб-разработчик,2017-12-01,0
473,Веб-разработчик,2018-01-01,14
474,Веб-разработчик,2018-02-01,127
475,Веб-разработчик,2018-03-01,146
476,Веб-разработчик,2018-04-01,154
477,Веб-разработчик,2018-05-01,175
478,Веб-разработчик,2018-06-01,173
479,Веб-разработчик,2018-07-01,126
480,Веб-разработчик,2018-08-01,72
481,Веб-разработчик,2018-09-01,58
482,Веб-разработчик,2018-10-01,57
483,Веб-разработчик,2018-11-01,58
484,Веб-разработчик,2018-12-01,42
485,Веб-разработчик,2019-01-01,38
486,Веб-разработчик,2019-02-01,36
487,Веб-разработчик,2019-03-01,29
488,Веб-разработчик,2019-04-01,19
489,Веб-разработчик,2019-05-01,27
490,Веб-разработчик,2019-06-01,23
491,Веб-разработчик,2019-07-01,12
492,SMM-маркетолог от А до Я,2016-03-01,0
493,SMM-маркетолог от А до Я,2016-04-01,0
494,SMM-маркетолог от А до Я,2016-05-01,0
495,SMM-маркетолог от А до Я,2016-06-01,0
496,SMM-маркетолог от А до Я,2016-07-01,0
497,SMM-маркетолог от А до Я,2016-08-01,0
498,SMM-маркетолог от А до Я,2016-09-01,0
499,SMM-маркетолог от А до Я,2016-10-01,0
500,SMM-маркетолог от А до Я,2016-11-01,0
501,SMM-маркетолог от А до Я,2016-12-01,0
502,SMM-маркетолог от А до Я,2017-01-01,0
503,SMM-маркетолог от А до Я,2017-02-01,0
504,SMM-маркетолог от А до Я,2017-03-01,0
505,SMM-маркетолог от А до Я,2017-04-01,0
506,SMM-маркетолог от А до Я,2017-05-01,0
